,timestamp,value_type_temperature,value_temperature,timestamp_new,value_type_humidity,value_humidity,value_type_P1,value_P1,value_type_P2,value_P2
52,2021-11-08T06:59:31.910495+00:00,temperature,22.0,2021-11-08 06:59:32+00:00,humidity,58.0,,,,
53,2021-11-08T07:00:24.311329+00:00,temperature,22.0,2021-11-08 07:00:24+00:00,humidity,60.0,,,,
54,2021-11-08T07:03:04.247594+00:00,temperature,23.0,2021-11-08 07:03:04+00:00,humidity,58.0,,,,
55,2021-11-08T07:05:44.185942+00:00,temperature,23.0,2021-11-08 07:05:44+00:00,humidity,56.0,,,,
56,2021-11-08T07:08:24.874412+00:00,temperature,23.0,2021-11-08 07:08:25+00:00,humidity,59.0,,,,
57,2021-11-08T07:10:39.595413+00:00,temperature,23.0,2021-11-08 07:10:40+00:00,humidity,50.0,,,,
58,2021-11-08T07:13:19.999747+00:00,temperature,23.0,2021-11-08 07:13:20+00:00,humidity,51.0,,,,
59,2021-11-08T07:15:59.866061+00:00,temperature,23.0,2021-11-08 07:16:00+00:00,humidity,54.0,,,,
60,2021-11-08T07:18:39.935845+00:00,temperature,23.0,2021-11-08 07:18:40+00:00,humidity,53.0,,,,
61,2021-11-08T07:21:20.025184+00:00,temperature,24.0,2021-11-08 07:21:20+00:00,humidity,53.0,,,,
62,2021-11-08T07:24:00.328544+00:00,temperature,24.0,2021-11-08 07:24:00+00:00,humidity,51.0,,,,
63,2021-11-08T07:26:41.066722+00:00,temperature,24.0,2021-11-08 07:26:41+00:00,humidity,51.0,,,,
64,2021-11-08T07:29:21.000180+00:00,temperature,24.0,2021-11-08 07:29:21+00:00,humidity,50.0,,,,
65,2021-11-08T07:32:01.372821+00:00,temperature,24.0,2021-11-08 07:32:01+00:00,humidity,51.0,,,,
66,2021-11-08T07:34:41.508248+00:00,temperature,24.0,2021-11-08 07:34:42+00:00,humidity,52.0,,,,
67,2021-11-08T07:37:21.716981+00:00,temperature,24.0,2021-11-08 07:37:22+00:00,humidity,50.0,,,,
68,2021-11-08T07:40:01.704180+00:00,temperature,25.0,2021-11-08 07:40:02+00:00,humidity,50.0,,,,
69,2021-11-08T07:42:42.128382+00:00,temperature,25.0,2021-11-08 07:42:42+00:00,humidity,49.0,,,,
70,2021-11-08T07:45:22.060463+00:00,temperature,25.0,2021-11-08 07:45:22+00:00,humidity,49.0,,,,
71,2021-11-08T07:48:02.423403+00:00,temperature,25.0,2021-11-08 07:48:02+00:00,humidity,52.0,,,,
72,2021-11-08T07:50:42.890227+00:00,temperature,25.0,2021-11-08 07:50:43+00:00,humidity,48.0,,,,
73,2021-11-08T07:53:22.379316+00:00,temperature,25.0,2021-11-08 07:53:22+00:00,humidity,46.0,,,,
74,2021-11-08T07:56:02.764457+00:00,temperature,26.0,2021-11-08 07:56:03+00:00,humidity,47.0,,,,
75,2021-11-08T07:58:43.150521+00:00,temperature,26.0,2021-11-08 07:58:43+00:00,humidity,43.0,,,,
76,2021-11-08T08:01:22.834814+00:00,temperature,26.0,2021-11-08 08:01:23+00:00,humidity,45.0,,,,
77,2021-11-08T08:04:03.108987+00:00,temperature,26.0,2021-11-08 08:04:03+00:00,humidity,46.0,,,,
78,2021-11-08T08:06:43.465393+00:00,temperature,26.0,2021-11-08 08:06:43+00:00,humidity,46.0,,,,
79,2021-11-08T08:09:23.632261+00:00,temperature,27.0,2021-11-08 08:09:24+00:00,humidity,44.0,,,,
80,2021-11-08T08:12:03.399427+00:00,temperature,27.0,2021-11-08 08:12:03+00:00,humidity,42.0,,,,
81,2021-11-08T08:14:43.836188+00:00,temperature,26.0,2021-11-08 08:14:44+00:00,humidity,41.0,,,,
82,2021-11-08T08:17:24.151309+00:00,temperature,26.0,2021-11-08 08:17:24+00:00,humidity,44.0,,,,
83,2021-11-08T08:20:03.694596+00:00,temperature,26.0,2021-11-08 08:20:04+00:00,humidity,44.0,,,,
84,2021-11-08T08:22:44.127535+00:00,temperature,26.0,2021-11-08 08:22:44+00:00,humidity,43.0,,,,
85,2021-11-08T08:25:24.309511+00:00,temperature,27.0,2021-11-08 08:25:24+00:00,humidity,44.0,,,,
86,2021-11-08T08:28:04.866981+00:00,temperature,27.0,2021-11-08 08:28:05+00:00,humidity,40.0,,,,
87,2021-11-08T08:30:44.426274+00:00,temperature,27.0,2021-11-08 08:30:44+00:00,humidity,41.0,,,,
88,2021-11-08T08:33:24.791382+00:00,temperature,27.0,2021-11-08 08:33:25+00:00,humidity,41.0,,,,
89,2021-11-08T08:36:05.004621+00:00,temperature,27.0,2021-11-08 08:36:05+00:00,humidity,41.0,,,,
90,2021-11-08T08:38:44.766739+00:00,temperature,27.0,2021-11-08 08:38:45+00:00,humidity,41.0,,,,
91,2021-11-08T08:41:25.125309+00:00,temperature,27.0,2021-11-08 08:41:25+00:00,humidity,41.0,,,,
92,2021-11-08T08:44:05.454165+00:00,temperature,27.0,2021-11-08 08:44:05+00:00,humidity,41.0,,,,
93,2021-11-08T08:46:45.963883+00:00,temperature,28.0,2021-11-08 08:46:46+00:00,humidity,41.0,,,,
94,2021-11-08T08:49:26.324848+00:00,temperature,28.0,2021-11-08 08:49:26+00:00,humidity,41.0,,,,
95,2021-11-08T08:52:05.618995+00:00,temperature,28.0,2021-11-08 08:52:06+00:00,humidity,40.0,,,,
96,2021-11-08T08:54:46.260225+00:00,temperature,29.0,2021-11-08 08:54:46+00:00,humidity,39.0,,,,
97,2021-11-08T08:57:25.769071+00:00,temperature,29.0,2021-11-08 08:57:26+00:00,humidity,40.0,,,,
98,2021-11-08T09:00:06.243598+00:00,temperature,28.0,2021-11-08 09:00:06+00:00,humidity,42.0,,,,
99,2021-11-08T09:02:46.616997+00:00,temperature,28.0,2021-11-08 09:02:47+00:00,humidity,41.0,,,,
100,2021-11-08T09:05:27.061093+00:00,temperature,28.0,2021-11-08 09:05:27+00:00,humidity,41.0,,,,
101,2021-11-08T09:08:06.600028+00:00,temperature,28.0,2021-11-08 09:08:07+00:00,humidity,42.0,,,,
102,2021-11-08T09:10:46.943225+00:00,temperature,29.0,2021-11-08 09:10:47+00:00,humidity,41.0,,,,
