typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
3,2023-02-04T04:22:51.323125+00:00,P1,59,2023-02-04 04:22:51+00:00
7,2023-02-04T04:25:32.355326+00:00,P1,51,2023-02-04 04:25:32+00:00
9,2023-02-04T04:28:12.715838+00:00,P1,56,2023-02-04 04:28:13+00:00
15,2023-02-04T04:30:52.437520+00:00,P1,56,2023-02-04 04:30:52+00:00
19,2023-02-04T04:33:32.678818+00:00,P1,117,2023-02-04 04:33:33+00:00
21,2023-02-04T04:36:12.927357+00:00,P1,37,2023-02-04 04:36:13+00:00
27,2023-02-04T04:38:53.316332+00:00,P1,39,2023-02-04 04:38:53+00:00
31,2023-02-04T04:41:34.091589+00:00,P1,109,2023-02-04 04:41:34+00:00
33,2023-02-04T04:44:13.327431+00:00,P1,80,2023-02-04 04:44:13+00:00
37,2023-02-04T04:46:53.618956+00:00,P1,46,2023-02-04 04:46:54+00:00
43,2023-02-04T04:49:33.240110+00:00,P1,45,2023-02-04 04:49:33+00:00
47,2023-02-04T04:52:13.549063+00:00,P1,44,2023-02-04 04:52:14+00:00
49,2023-02-04T04:54:53.813248+00:00,P1,38,2023-02-04 04:54:54+00:00
55,2023-02-04T04:57:34.392875+00:00,P1,29,2023-02-04 04:57:34+00:00
59,2023-02-04T05:00:13.815369+00:00,P1,30,2023-02-04 05:00:14+00:00
61,2023-02-04T05:02:53.670508+00:00,P1,19,2023-02-04 05:02:54+00:00
65,2023-02-04T05:05:34.749576+00:00,P1,35,2023-02-04 05:05:35+00:00
69,2023-02-04T05:08:14.749544+00:00,P1,32,2023-02-04 05:08:15+00:00
73,2023-02-04T05:10:54.791203+00:00,P1,79,2023-02-04 05:10:55+00:00
77,2023-02-04T05:13:35.214403+00:00,P1,48,2023-02-04 05:13:35+00:00
81,2023-02-04T05:16:15.281997+00:00,P1,43,2023-02-04 05:16:15+00:00
87,2023-02-04T05:18:54.943865+00:00,P1,34,2023-02-04 05:18:55+00:00
91,2023-02-04T05:21:35.244369+00:00,P1,19,2023-02-04 05:21:35+00:00
93,2023-02-04T05:24:15.627939+00:00,P1,35,2023-02-04 05:24:16+00:00
97,2023-02-04T05:26:55.383476+00:00,P1,24,2023-02-04 05:26:55+00:00
103,2023-02-04T05:29:35.965241+00:00,P1,23,2023-02-04 05:29:36+00:00
107,2023-02-04T05:32:16.010067+00:00,P1,35,2023-02-04 05:32:16+00:00
111,2023-02-04T05:34:56.099389+00:00,P1,28,2023-02-04 05:34:56+00:00
115,2023-02-04T05:37:36.164372+00:00,P1,39,2023-02-04 05:37:36+00:00
119,2023-02-04T05:40:16.696439+00:00,P1,22,2023-02-04 05:40:17+00:00
123,2023-02-04T05:42:55.878611+00:00,P1,35,2023-02-04 05:42:56+00:00
125,2023-02-04T05:45:36.175555+00:00,P1,23,2023-02-04 05:45:36+00:00
129,2023-02-04T05:48:16.730855+00:00,P1,36,2023-02-04 05:48:17+00:00
135,2023-02-04T05:50:57.144978+00:00,P1,63,2023-02-04 05:50:57+00:00
139,2023-02-04T05:53:37.419565+00:00,P1,12,2023-02-04 05:53:37+00:00
143,2023-02-04T05:56:16.663046+00:00,P1,20,2023-02-04 05:56:17+00:00
