typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
280,2023-02-04T07:29:42.283684+00:00,humidity,61,2023-02-04 07:29:42+00:00
286,2023-02-04T07:32:21.515493+00:00,humidity,60,2023-02-04 07:32:22+00:00
288,2023-02-04T07:35:03.148889+00:00,humidity,58,2023-02-04 07:35:03+00:00
292,2023-02-04T07:37:43.079550+00:00,humidity,59,2023-02-04 07:37:43+00:00
298,2023-02-04T07:40:23.364289+00:00,humidity,57,2023-02-04 07:40:23+00:00
300,2023-02-04T07:43:02.859210+00:00,humidity,56,2023-02-04 07:43:03+00:00
304,2023-02-04T07:45:43.306056+00:00,humidity,57,2023-02-04 07:45:43+00:00
308,2023-02-04T07:48:23.445919+00:00,humidity,57,2023-02-04 07:48:23+00:00
314,2023-02-04T07:51:03.243819+00:00,humidity,56,2023-02-04 07:51:03+00:00
318,2023-02-04T07:53:43.378445+00:00,humidity,51,2023-02-04 07:53:43+00:00
322,2023-02-04T07:56:23.019477+00:00,humidity,50,2023-02-04 07:56:23+00:00
324,2023-02-04T07:59:04.009367+00:00,humidity,46,2023-02-04 07:59:04+00:00
330,2023-02-04T08:01:44.108394+00:00,humidity,47,2023-02-04 08:01:44+00:00
334,2023-02-04T08:04:23.877004+00:00,humidity,47,2023-02-04 08:04:24+00:00
338,2023-02-04T08:07:04.487570+00:00,humidity,49,2023-02-04 08:07:04+00:00
340,2023-02-04T08:09:43.954923+00:00,humidity,46,2023-02-04 08:09:44+00:00
344,2023-02-04T08:12:24.044061+00:00,humidity,48,2023-02-04 08:12:24+00:00
350,2023-02-04T08:15:04.963884+00:00,humidity,49,2023-02-04 08:15:05+00:00
352,2023-02-04T08:17:45.055346+00:00,humidity,52,2023-02-04 08:17:45+00:00
356,2023-02-04T08:20:24.878631+00:00,humidity,50,2023-02-04 08:20:25+00:00
362,2023-02-04T08:23:06.123012+00:00,humidity,43,2023-02-04 08:23:06+00:00
364,2023-02-04T08:25:45.588744+00:00,humidity,40,2023-02-04 08:25:46+00:00
370,2023-02-04T08:28:25.307282+00:00,humidity,41,2023-02-04 08:28:25+00:00
374,2023-02-04T08:31:05.989399+00:00,humidity,43,2023-02-04 08:31:06+00:00
376,2023-02-04T08:33:45.168893+00:00,humidity,41,2023-02-04 08:33:45+00:00
380,2023-02-04T08:36:26.336649+00:00,humidity,41,2023-02-04 08:36:26+00:00
384,2023-02-04T08:39:05.870740+00:00,humidity,41,2023-02-04 08:39:06+00:00
388,2023-02-04T08:41:46.375040+00:00,humidity,40,2023-02-04 08:41:46+00:00
392,2023-02-04T08:44:26.030085+00:00,humidity,41,2023-02-04 08:44:26+00:00
396,2023-02-04T08:47:06.444656+00:00,humidity,39,2023-02-04 08:47:06+00:00
402,2023-02-04T08:49:46.725969+00:00,humidity,37,2023-02-04 08:49:47+00:00
404,2023-02-04T08:52:27.131657+00:00,humidity,38,2023-02-04 08:52:27+00:00
408,2023-02-04T08:55:06.621757+00:00,humidity,37,2023-02-04 08:55:07+00:00
412,2023-02-04T08:57:47.061391+00:00,humidity,37,2023-02-04 08:57:47+00:00
418,2023-02-04T09:00:27.664811+00:00,humidity,37,2023-02-04 09:00:28+00:00
420,2023-02-04T09:03:07.897771+00:00,humidity,39,2023-02-04 09:03:08+00:00
426,2023-02-04T09:05:47.416154+00:00,humidity,38,2023-02-04 09:05:47+00:00
430,2023-02-04T09:08:27.754276+00:00,humidity,38,2023-02-04 09:08:28+00:00
432,2023-02-04T09:11:08.218099+00:00,humidity,37,2023-02-04 09:11:08+00:00
436,2023-02-04T09:13:47.826177+00:00,humidity,39,2023-02-04 09:13:48+00:00
442,2023-02-04T09:16:28.196628+00:00,humidity,37,2023-02-04 09:16:28+00:00
446,2023-02-04T09:19:08.493929+00:00,humidity,37,2023-02-04 09:19:08+00:00
450,2023-02-04T09:21:48.993276+00:00,humidity,37,2023-02-04 09:21:49+00:00
454,2023-02-04T09:24:30.133679+00:00,humidity,38,2023-02-04 09:24:30+00:00
458,2023-02-04T09:27:08.944744+00:00,humidity,37,2023-02-04 09:27:09+00:00
460,2023-02-04T09:29:48.945927+00:00,humidity,37,2023-02-04 09:29:49+00:00
466,2023-02-04T09:32:28.941417+00:00,humidity,37,2023-02-04 09:32:29+00:00
468,2023-02-04T09:35:08.988077+00:00,humidity,36,2023-02-04 09:35:09+00:00
474,2023-02-04T09:37:49.391774+00:00,humidity,36,2023-02-04 09:37:49+00:00
478,2023-02-04T09:40:34.891981+00:00,humidity,36,2023-02-04 09:40:35+00:00
480,2023-02-04T09:43:09.340214+00:00,humidity,36,2023-02-04 09:43:09+00:00
486,2023-02-04T09:45:49.785300+00:00,humidity,35,2023-02-04 09:45:50+00:00
490,2023-02-04T09:48:30.379557+00:00,humidity,36,2023-02-04 09:48:30+00:00
494,2023-02-04T09:51:10.074445+00:00,humidity,34,2023-02-04 09:51:10+00:00
496,2023-02-04T09:53:49.989451+00:00,humidity,34,2023-02-04 09:53:50+00:00
500,2023-02-04T09:56:30.563776+00:00,humidity,34,2023-02-04 09:56:31+00:00
506,2023-02-04T09:59:10.947994+00:00,humidity,35,2023-02-04 09:59:11+00:00
508,2023-02-04T10:01:50.434889+00:00,humidity,36,2023-02-04 10:01:50+00:00
512,2023-02-04T10:04:30.429665+00:00,humidity,35,2023-02-04 10:04:30+00:00
516,2023-02-04T10:07:11.114000+00:00,humidity,34,2023-02-04 10:07:11+00:00
520,2023-02-04T10:09:50.977265+00:00,humidity,35,2023-02-04 10:09:51+00:00
526,2023-02-04T10:12:31.209897+00:00,humidity,34,2023-02-04 10:12:31+00:00
528,2023-02-04T10:15:11.455279+00:00,humidity,34,2023-02-04 10:15:11+00:00
534,2023-02-04T10:17:51.690473+00:00,humidity,35,2023-02-04 10:17:52+00:00
536,2023-02-04T10:20:31.368036+00:00,humidity,35,2023-02-04 10:20:31+00:00
540,2023-02-04T10:23:11.706796+00:00,humidity,36,2023-02-04 10:23:12+00:00
544,2023-02-04T10:25:52.219949+00:00,humidity,34,2023-02-04 10:25:52+00:00
550,2023-02-04T10:28:31.730705+00:00,humidity,33,2023-02-04 10:28:32+00:00
552,2023-02-04T10:31:12.272511+00:00,humidity,33,2023-02-04 10:31:12+00:00
558,2023-02-04T10:33:52.825356+00:00,humidity,33,2023-02-04 10:33:53+00:00
560,2023-02-04T10:36:33.173720+00:00,humidity,33,2023-02-04 10:36:33+00:00
564,2023-02-04T10:39:12.552341+00:00,humidity,32,2023-02-04 10:39:13+00:00
570,2023-02-04T10:41:53.061425+00:00,humidity,32,2023-02-04 10:41:53+00:00
572,2023-02-04T10:44:33.269200+00:00,humidity,33,2023-02-04 10:44:33+00:00
576,2023-02-04T10:47:13.029468+00:00,humidity,32,2023-02-04 10:47:13+00:00
580,2023-02-04T10:49:53.008465+00:00,humidity,33,2023-02-04 10:49:53+00:00
584,2023-02-04T10:52:33.765386+00:00,humidity,32,2023-02-04 10:52:34+00:00
588,2023-02-04T10:55:14.130912+00:00,humidity,31,2023-02-04 10:55:14+00:00
594,2023-02-04T10:57:54.023530+00:00,humidity,31,2023-02-04 10:57:54+00:00
598,2023-02-04T11:00:34.359650+00:00,humidity,31,2023-02-04 11:00:34+00:00
600,2023-02-04T11:03:14.268840+00:00,humidity,31,2023-02-04 11:03:14+00:00
604,2023-02-04T11:05:54.317885+00:00,humidity,31,2023-02-04 11:05:54+00:00
608,2023-02-04T11:08:34.140997+00:00,humidity,30,2023-02-04 11:08:34+00:00
612,2023-02-04T11:11:14.744912+00:00,humidity,32,2023-02-04 11:11:15+00:00
616,2023-02-04T11:13:55.030523+00:00,humidity,32,2023-02-04 11:13:55+00:00
622,2023-02-04T11:16:34.660883+00:00,humidity,33,2023-02-04 11:16:35+00:00
626,2023-02-04T11:19:15.043498+00:00,humidity,32,2023-02-04 11:19:15+00:00
630,2023-02-04T11:21:55.620130+00:00,humidity,33,2023-02-04 11:21:56+00:00
632,2023-02-04T11:24:35.078299+00:00,humidity,34,2023-02-04 11:24:35+00:00
636,2023-02-04T11:27:15.421358+00:00,humidity,32,2023-02-04 11:27:15+00:00
640,2023-02-04T11:29:55.601803+00:00,humidity,32,2023-02-04 11:29:56+00:00
644,2023-02-04T11:32:35.900304+00:00,humidity,32,2023-02-04 11:32:36+00:00
648,2023-02-04T11:35:15.286870+00:00,humidity,33,2023-02-04 11:35:15+00:00
652,2023-02-04T11:37:55.935120+00:00,humidity,34,2023-02-04 11:37:56+00:00
658,2023-02-04T11:40:36.465765+00:00,humidity,34,2023-02-04 11:40:36+00:00
662,2023-02-04T11:43:16.416628+00:00,humidity,32,2023-02-04 11:43:16+00:00
666,2023-02-04T11:45:56.286993+00:00,humidity,30,2023-02-04 11:45:56+00:00
670,2023-02-04T11:48:36.897215+00:00,humidity,31,2023-02-04 11:48:37+00:00
672,2023-02-04T11:51:16.500510+00:00,humidity,32,2023-02-04 11:51:17+00:00
676,2023-02-04T11:53:56.786800+00:00,humidity,31,2023-02-04 11:53:57+00:00
680,2023-02-04T11:56:37.074500+00:00,humidity,31,2023-02-04 11:56:37+00:00
686,2023-02-04T11:59:17.340853+00:00,humidity,31,2023-02-04 11:59:17+00:00
688,2023-02-04T12:01:57.149103+00:00,humidity,32,2023-02-04 12:01:57+00:00
692,2023-02-04T12:04:37.279298+00:00,humidity,33,2023-02-04 12:04:37+00:00
696,2023-02-04T12:07:17.627367+00:00,humidity,33,2023-02-04 12:07:18+00:00
702,2023-02-04T12:09:57.616438+00:00,humidity,32,2023-02-04 12:09:58+00:00
704,2023-02-04T12:12:37.618465+00:00,humidity,32,2023-02-04 12:12:38+00:00
710,2023-02-04T12:15:17.657401+00:00,humidity,33,2023-02-04 12:15:18+00:00
712,2023-02-04T12:17:58.631550+00:00,humidity,32,2023-02-04 12:17:59+00:00
718,2023-02-04T12:20:38.370112+00:00,humidity,31,2023-02-04 12:20:38+00:00
720,2023-02-04T12:23:17.604887+00:00,humidity,31,2023-02-04 12:23:18+00:00
726,2023-02-04T12:25:58.866740+00:00,humidity,31,2023-02-04 12:25:59+00:00
728,2023-02-04T12:28:38.641817+00:00,humidity,30,2023-02-04 12:28:39+00:00
734,2023-02-04T12:31:18.502090+00:00,humidity,30,2023-02-04 12:31:19+00:00
738,2023-02-04T12:33:59.192096+00:00,humidity,30,2023-02-04 12:33:59+00:00
740,2023-02-04T12:36:39.475290+00:00,humidity,31,2023-02-04 12:36:39+00:00
746,2023-02-04T12:39:18.911474+00:00,humidity,32,2023-02-04 12:39:19+00:00
750,2023-02-04T12:41:59.679689+00:00,humidity,30,2023-02-04 12:42:00+00:00
754,2023-02-04T12:44:39.767540+00:00,humidity,32,2023-02-04 12:44:40+00:00
756,2023-02-04T12:47:19.459837+00:00,humidity,32,2023-02-04 12:47:19+00:00
760,2023-02-04T12:49:59.529195+00:00,humidity,33,2023-02-04 12:50:00+00:00
764,2023-02-04T12:52:39.788622+00:00,humidity,33,2023-02-04 12:52:40+00:00
770,2023-02-04T12:55:19.556636+00:00,humidity,32,2023-02-04 12:55:20+00:00
774,2023-02-04T12:58:00.255678+00:00,humidity,31,2023-02-04 12:58:00+00:00
776,2023-02-04T13:00:40.713991+00:00,humidity,33,2023-02-04 13:00:41+00:00
782,2023-02-04T13:03:23.673838+00:00,humidity,32,2023-02-04 13:03:24+00:00
784,2023-02-04T13:06:00.600535+00:00,humidity,32,2023-02-04 13:06:01+00:00
788,2023-02-04T13:08:40.728040+00:00,humidity,33,2023-02-04 13:08:41+00:00
792,2023-02-04T13:11:21.339848+00:00,humidity,33,2023-02-04 13:11:21+00:00
796,2023-02-04T13:14:01.188045+00:00,humidity,33,2023-02-04 13:14:01+00:00
800,2023-02-04T13:16:40.999546+00:00,humidity,33,2023-02-04 13:16:41+00:00
806,2023-02-04T13:19:21.083231+00:00,humidity,33,2023-02-04 13:19:21+00:00
808,2023-02-04T13:22:01.665172+00:00,humidity,33,2023-02-04 13:22:02+00:00
812,2023-02-04T13:24:41.460898+00:00,humidity,33,2023-02-04 13:24:41+00:00
816,2023-02-04T13:27:21.645155+00:00,humidity,34,2023-02-04 13:27:22+00:00
820,2023-02-04T13:30:02.178383+00:00,humidity,33,2023-02-04 13:30:02+00:00
824,2023-02-04T13:32:42.707984+00:00,humidity,33,2023-02-04 13:32:43+00:00
830,2023-02-04T13:35:22.018569+00:00,humidity,33,2023-02-04 13:35:22+00:00
834,2023-02-04T13:38:02.490679+00:00,humidity,34,2023-02-04 13:38:02+00:00
838,2023-02-04T13:40:42.350735+00:00,humidity,34,2023-02-04 13:40:42+00:00
842,2023-02-04T13:43:22.486676+00:00,humidity,33,2023-02-04 13:43:22+00:00
846,2023-02-04T13:46:03.003137+00:00,humidity,33,2023-02-04 13:46:03+00:00
850,2023-02-04T13:48:42.421577+00:00,humidity,33,2023-02-04 13:48:42+00:00
854,2023-02-04T13:51:22.983219+00:00,humidity,33,2023-02-04 13:51:23+00:00
856,2023-02-04T13:54:03.006751+00:00,humidity,33,2023-02-04 13:54:03+00:00
862,2023-02-04T13:56:43.732878+00:00,humidity,34,2023-02-04 13:56:44+00:00
864,2023-02-04T13:59:23.394099+00:00,humidity,33,2023-02-04 13:59:23+00:00
870,2023-02-04T14:02:03.679488+00:00,humidity,34,2023-02-04 14:02:04+00:00
872,2023-02-04T14:04:43.800159+00:00,humidity,35,2023-02-04 14:04:44+00:00
878,2023-02-04T14:07:24.574985+00:00,humidity,35,2023-02-04 14:07:25+00:00
882,2023-02-04T14:10:04.022403+00:00,humidity,35,2023-02-04 14:10:04+00:00
884,2023-02-04T14:12:44.314592+00:00,humidity,34,2023-02-04 14:12:44+00:00
888,2023-02-04T14:15:24.632178+00:00,humidity,35,2023-02-04 14:15:25+00:00
892,2023-02-04T14:18:04.568473+00:00,humidity,34,2023-02-04 14:18:05+00:00
896,2023-02-04T14:20:44.743091+00:00,humidity,33,2023-02-04 14:20:45+00:00
900,2023-02-04T14:23:24.925120+00:00,humidity,33,2023-02-04 14:23:25+00:00
904,2023-02-04T14:26:05.221348+00:00,humidity,33,2023-02-04 14:26:05+00:00
908,2023-02-04T14:28:45.119179+00:00,humidity,33,2023-02-04 14:28:45+00:00
912,2023-02-04T14:31:25.364170+00:00,humidity,33,2023-02-04 14:31:25+00:00
918,2023-02-04T14:34:05.744802+00:00,humidity,34,2023-02-04 14:34:06+00:00
920,2023-02-04T14:36:45.294207+00:00,humidity,34,2023-02-04 14:36:45+00:00
926,2023-02-04T14:39:25.668368+00:00,humidity,34,2023-02-04 14:39:26+00:00
928,2023-02-04T14:42:06.016296+00:00,humidity,35,2023-02-04 14:42:06+00:00
932,2023-02-04T14:44:46.114260+00:00,humidity,35,2023-02-04 14:44:46+00:00
